id_autoria,id_artigo,id_pessoa,ordem_autoria,autor_correspondente
1,1,Rodrigo S. S. Adeu,1,False
2,1,Karine Reis Ferreira,2,False
3,1,Pedro Ribeiro de Andrade,3,False
4,1,Lorena Santos,4,False
5,2,Erick de Barros Alc�ntara,1,False
6,2,Marconi de Arruda Pereira,2,False
7,3,M�rio Balan,1,False
8,3,Jaudete Daltio,2,False
9,4,M�rio Balan,1,False
10,4,Jaudete Daltio,2,False
11,4,C�cero Cartaxo Lucena,3,False
12,5,Silvia Goldman Ber Kapel,1,False
13,5,Jorge Rady de Almeida J�nior,2,False
14,6,Diego Xavier Bezerra,1,False
15,6,Gustavo Willy Nagel,2,False
16,6,Ra�ssa Caroline dos Santos Teixeira,3,False
17,6,Stella Correia Cesar Coelho,4,False
18,7,Victor Alvarenga Carvalho,1,False
19,7,Sabrina Paes Leme Passos Correa,2,False
20,7,Afonso de Paula dos Santos,3,False
21,8,Vin�cius Ceccon,1,False
22,8,Pedro Vinicius Yamamoto Agner de Faria,2,False
23,8,Danielli Batistella,3,False
24,8,Vanderlei Aparecido de Lima,4,False
25,9,Gabriel T. P. Coimbra,1,False
26,9,Cl�udio Gustavo S. Capanema,2,False
27,9,Fabr�cio A. Silva,3,False
28,9,Thais R. M. Braga Silva,4,False
29,10,Katyanne Viana da Concei��o,1,False
30,10,Michel Eust�quio Dantas Chaves,2,False
31,11,Daniel G. Duft,1,False
32,11,Ana C. S. Luciano,2,False
33,11,Peterson R. Fiorio,3,False
34,12,Andeise Cerqueira Dutra,1,False
35,12,Egidio Arai,2,False
36,12,Yosio Edemir Shimabukuro,3,False
37,13,Carlos Alberto Felgueiras,1,False
38,13,Jussara de Oliveira Ortiz,2,False
39,13,Eduardo Celso Gerbi Camargo,3,False
40,14,Mariela A. Fernandez,1,False
41,14,Rogerio J. Barbosa,2,False
42,15,Ewerton Gontijo,1,False
43,15,Glaucio Rocha,2,False
44,15,Leonardo Santana,3,False
45,15,Felipe Branco,4,False
46,15,Natalia Oliveira,5,False
47,16,Layane B. S. Loti,1,False
48,16,Nilcilene G. Medeiros,2,False
49,16,Afonso de Paula dos Santos,3,False
50,16,Jugurta Lisboa-Filho,4,False
51,17,Felipe Ferraz Martins,1,False
52,17,Matheus Cavassan Zaglia,2,False
53,18,Bruno Menini Matosak,1,False
54,18,Marcos Ant�nio de Almeida Rodrigues,2,False
55,18,Tatiana Dias Tardelli Uehara,3,False
56,18,Thales Sehn K�rting,4,False
57,18,Leila Maria Garcia Fonseca,5,False
58,19,Marcelo de M. Menezes,1,False
59,19,Salles V. G. de Magalh�es,2,False
60,19,Rodrigo E. de O. B. Chichorro,3,False
61,19,Matheus A. de Oliveira,4,False
62,19,Marcus V. A. Andrade,5,False
63,20,Cristiano Martins Monteiro,1,False
64,20,Geraldo Robson Mateus,2,False
65,20,Clodoveu Augusto Davis Junior,3,False
66,21,Noeli Aline Particcelli Moreira,1,False
67,21,Thales Sehn K�rting,2,False
68,21,Luciano Vieira Dutra,3,False
69,21,Emiliano Ferreira Castejon,4,False
70,21,Egidio Arai,5,False
71,22,Gustavo Willy Nagel,1,False
72,22,Ra�ssa Caroline dos Santos Teixeira,2,False
73,22,Stella Correia Cesar Coelho,3,False
74,23,Luci A. Nicolau,1,False
75,23,Clodoveu A. Davis Jr.,2,False
76,24,Gabriela Carvalho de Oliveira,1,False
77,24,Tathiane Mayumi Anazawa,2,False
78,24,Ant�nio Miguel Vieira Monteiro,3,False
79,25,S�vio S. T. de Oliveira,1,False
80,25,Marcelo de C. Cardoso,2,False
81,25,Elivelton Bueno,3,False
82,25,Vagner J. S. Rodrigues,4,False
83,25,Wellington S. Martins,5,False
84,26,Gabriel de O. C. Pacheco,1,False
85,26,Clodoveu A. Davis Jr.,2,False
86,27,Mikhaela Alo�sia J�ssie Santos Pletsch,1,False
87,27,Thales Sehn K�rting,2,False
88,27,Felipe Carraro Morita,3,False
89,27,Fabiano Morelli,4,False
90,27,Olga Oliveira Bittencourt,5,False
91,27,Paulo S�rgio da Silva Victorino,6,False
92,28,Tarlis T. Portela,1,False
93,28,Francisco Vicenzi,2,False
94,28,Vania Bogorny,3,False
95,30,Alber Sanchez,1,False
96,30,Michelle Picoli,2,False
97,30,Pedro Ribeiro de Andrade,3,False
98,30,Rolf Sim�es,4,False
99,30,Lorena Santos,5,False
100,30,Michel Chaves,6,False
101,30,Rodrigo Begotti,7,False
102,30,Gilberto Camara,8,False
103,31,Gabriel Sansigolo,1,False
104,31,Gilberto Ribeiro de Queiroz,2,False
105,31,Karine Reis Ferreira,3,False
106,32,Pedro Henrique Santos,1,False
107,32,Leandro Maria Gimenez,2,False
108,32,Leonardo Felipe Maldaner,3,False
109,32,C�ssio da Costa Duarte,4,False
110,33,Murilo Cunha dos Santos,1,False
111,33,Thiago Borges de Oliveira,2,False
112,34,Roberto F. Silva,1,False
113,34,Alex da S. Sousa,2,False
114,34,Fernando Xavier,3,False
115,34,Emerson Galvani,4,False
116,34,Gustavo M. Mosta�o,5,False
117,34,Antonio M. Saraiva,6,False
118,34,Carlos E. Cugnasca,7,False
119,34,Jurandyr L. S. Ross,8,False
120,35,Felipe Carvalho de Souza,1,False
121,35,Rafael Duarte Coelho dos Santos,2,False
122,35,Karine Reis Ferreira,3,False
123,36,Vin�cius G. Sperandio,1,False
124,36,Carlos Henrique Tavares,2,False
125,36,Jugurta Lisboa-Filho,3,False
126,37,Patr�cia dos Santos Teixeira,1,False
127,37,Afonso de Paula dos Santos,2,False
128,38,Diego B. Tomasiello,1,False
129,38,Mariana Giannotti,2,False
130,38,Fl�via F. Feitosa,3,False
131,39,Guilherme Silva Tonon,1,False
132,39,Thiago Borges de Oliveira,2,False
133,40,Nielson S. Trindade,1,False
134,40,Artur H. Kronbauer,2,False
135,40,Helder G. Arag�o,3,False
136,40,Jorge Campos,4,False
137,41,Tatiana Dias Tardelli Uehara,1,False
138,41,Sabrina Paes Leme Passos Correa,2,False
139,41,Renata Pacheco Quevedo,3,False
140,41,Thales Sehn K�rting,4,False
141,41,Luciano Vieira Dutra,5,False
142,41,Camilo Daleles Renn�,6,False
143,42,Matheus C. Zaglia,1,False
144,42,Lubia Vinhas,2,False
145,42,Gilberto Ribeiro Queiroz,3,False
146,42,Rolf Ezequiel de Oliveira Simoes,4,False
147,43,Fabiana Zioti,1,False
148,43,Gilberto Ribeiro de Queiroz,2,False
149,43,Karine Reis Ferreira,3,False
