id_revisor,id_pessoa,n_edicao
1,17,20
2,122,20
3,68,20
4,123,20
5,124,20
6,34,20
7,125,20
8,126,20
9,127,20
10,128,20
11,60,20
12,129,20
13,77,20
14,24,20
15,110,20
16,120,20
17,130,20
18,131,20
19,132,20
20,133,20
21,45,20
22,134,20
23,2,20
24,135,20
25,136,20
26,119,20
27,137,20
28,6,20
29,57,20
30,138,20
31,109,20
32,139,20
33,140,20
34,3,20
35,104,20
36,141,20
37,142,20
38,143,20
39,144,20
40,54,20
41,145,20
42,146,20
43,147,20
44,51,20
45,148,20
46,149,20
47,81,20
48,150,20
49,151,20
