"id_pessoa","nome","instituicao"
"1","Marilton S. de Aguiar","Universidade Cat–lica de Pelotas (UCPEL)"
"2","Gracaliz P. Dimuro","Universidade Cat–lica de Pelotas (UCPEL)"
"3","Ant�nio C. da R. Costa","Universidade Cat–lica de Pelotas (UCPEL)"
"4","Rafael K. S. Silva","Universidade Cat–lica de Pelotas (UCPEL)"
"5","Fabia A. da Costa","Universidade Cat–lica de Pelotas (UCPEL)"
"6","Vladik Kreinovich","Department of Computer Science, UTEP"
"7","Paulo Arag�o","Universidade Estadual de Campinas (UNICAMP)"
"8","Cl�udia M. Bauzer Medeiros","Universidade Estadual de Campinas (UNICAMP)"
"9","Leonardo Guerreiro Azevedo","Universidade Federal do Rio de Janeiro (UFRJ)"
"10","Rodrigo Salvador Monteiro","Universidade Federal do Rio de Janeiro (UFRJ)"
"11","Geraldo Zimbr�o","Universidade Federal do Rio de Janeiro (UFRJ)"
"12","Jano Moreira de Souza","Universidade Federal do Rio de Janeiro (UFRJ)"
"13","Daniela F. Brauner","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"14","Marco A. Casanova","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"15","Carlos J. P. de Lucena","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"16","Jorge Campos","Universidade Salvador (Unifacs)"
"17","Kathleen Hornsby","University of Maine"
"18","Nadjim Chelghoum","University of Versailles"
"19","Karine Zeitouni","University of Versailles"
"20","Alexandre Coelho","Universidade do Estado do Rio de Janeiro (UERJ)"
"21","Marcio Nascimento","Universidade do Estado do Rio de Janeiro (UERJ)"
"22","Cristiana Bentes","Universidade do Estado do Rio de Janeiro (UERJ)"
"23","Maria Clicia Stelling de Castro","Universidade do Estado do Rio de Janeiro (UERJ)"
"24","Ricardo Farias","Universidade Federal do Rio de Janeiro (UFRJ)"
"25","Jaudete Daltio","Universidade Federal de Vi–osa (UFV)"
"26","Marcus Vin�cius Alvim Andrade","Universidade Federal de Vi–osa (UFV)"
"27","Gilberto Ribeiro de Queiroz","Instituto Nacional de Pesquisas Espaciais (INPE)"
"28","Mehdi Essid","Universit– Paul C–zanne Aix-Marseille III"
"29","Omar Boucelma","Universit– Paul C–zanne Aix-Marseille III"
"30","Fl�via F. Feitosa","Instituto Nacional de Pesquisas Espaciais (INPE)"
"31","Gilberto C�mara","Instituto Nacional de Pesquisas Espaciais (INPE)"
"32","Ant�nio M. V. Monteiro","Instituto Nacional de Pesquisas Espaciais (INPE)"
"33","Thomas Koschitzki","Martin-Luther Universit–t Halle-Wittenberg. Institut f–r Geographie."
"34","Marcelino P. S. Silva","Instituto Nacional de Pesquisas Espaciais (INPE)"
"35","Guillermo Nudelman Hess","Universidade Federal do Rio Grande do Sul (UFRGS)"
"36","Cirano Iochpe","Universidade Federal do Rio Grande do Sul (UFRGS)"
"37","Flavio Rech Wagner","Universidade Federal do Rio Grande do Sul (UFRGS)"
"38","Andr� Dias Bastos","Universidade Federal do Rio Grande do Sul (UFRGS)"
"39","Marcia Aparecida da Silva Almeida","Universidade Federal do Rio Grande do Sul (UFRGS)"
"40","Kathrin Kirchner","University of Jena"
"41","Johannes Ruhland","University of Jena"
"42","Gustavo Henrique Mandolesi","CPqD Telecom & IT Solutions"
"43","Cl�udia de Andrade Tambascia","CPqD Telecom & IT Solutions"
"44","Sandro Danilo Gatto","CPqD Telecom & IT Solutions"
"45","Alexandre Melo Braga","CPqD Telecom & IT Solutions"
"46","Heloise Manica","Universidade Federal de Santa Catarina (UFSC)"
"47","Murilo S. de Camargo","Universidade de Bras–lia (UnB)"
"48","Cristina Dutra de Aguiar Ciferri","Universidade Estadual de Maring– (UEM)"
"49","Ricardo Rodrigues Ciferri","Universidade Estadual de Maring– (UEM)"
"50","Brigitte Mathiak","Institut f–r Informationssysteme - TU Braunschweig"
"51","Andreas Kupfer","Institut f–r Informationssysteme - TU Braunschweig"
"52","Karl Neumann","Institut f–r Informationssysteme - TU Braunschweig"
"53","Fl�vio Mello","Universidade Federal do Rio de Janeiro (UFRJ)"
"54","Edilberto Strauss","Universidade Federal do Rio de Janeiro (UFRJ)"
"55","Ant�nio Oliveira","Universidade Federal do Rio de Janeiro (UFRJ)"
"56","Aline Gesualdi","Universidade Federal do Rio de Janeiro (UFRJ)"
"57","Jo�o B. Mendes","Universidade Federal de Vi–osa (UFV)"
"58","Cristiano D. Ferreira","Universidade Federal de Vi–osa (UFV)"
"59","Marcus V. A. Andrade","Universidade Federal de Vi–osa (UFV)"
"60","La�rcio M. Namikawa","Instituto Nacional de Pesquisas Espaciais (INPE)"
"61","Chris S. Renschler","University at Buffalo"
"62","Daniela Nicklas","Universit–t Stuttgart, Institute of Parallel and Distributed System"
"63","Nicola H�nle","Universit–t Stuttgart"
"64","Michael Moltenbrey","Universit–t Stuttgart"
"65","Bernhard Mitschang","Universit–t Stuttgart"
"66","Eduardo N�brega","Universidade Federal de Pernambuco (UFPE)"
"67","Jos� Tiago Rolim","Universidade Federal de Pernambuco (UFPE)"
"68","Val�ria Times","Universidade Federal de Pernambuco (UFPE)"
"69","Bianca Maria Pedrosa","Universidade Metodista de Piracicaba (UNIMEP)"
"70","Luiz Camolesi Jr.","Universidade Metodista de Piracicaba (UNIMEP)"
"71","Marina Teresa Pires Vieira","Universidade Metodista de Piracicaba (UNIMEP)"
"72","J. P. Queiroz-Neto","Centro Federal de Educa––o Tecnol–gica do Amazonas (CEFET/AM)"
"73","M. F. M. Campos","Universidade Federal de Minas Gerais (UFMG)"
"74","B. W. Nelson","INPA - Instituto Nacional de Pesquisas da Amaz–nia"
"75","J. L. S. Pio","Universidade Federal do Amazonas (UFA)"
"76","Lourena Rocha","Instituto Nacional de Matem–tica Pura e Aplicada (IMPA)"
"77","S�rgio Pinheiro","Instituto Nacional de Matem–tica Pura e Aplicada (IMPA)"
"78","Marcelo B. Vieira","Instituto Nacional de Matem–tica Pura e Aplicada (IMPA)"
"79","Luiz Velho","Instituto Nacional de Matem–tica Pura e Aplicada (IMPA)"
"80","Luiz Carlos de Abreu Rodrigues","Centro Federal de Educa––o Tecnol–gica do Paran– (CEFET/PR)"
"81","Hideson Alves da Silva","Centro Federal de Educa––o Tecnol–gica do Paran– (CEFET/PR)"
"82","Andr� Santanch�","Universidade Estadual de Campinas (UNICAMP)"
"83","Claudia Bauzer Medeiros","Universidade Estadual de Campinas (UNICAMP)"
"84","Juliano Schimiguel","Universidade Estadual de Campinas (UNICAMP)"
"85","M. Cec�lia C. Baranauskas","Universidade Estadual de Campinas (UNICAMP)"
"86","Michael Schuenck","Universidade Federal do Rio Grande do Norte (UFRN)"
"87","Val�ria Gon�alves Soares","Universidade Federal do Rio Grande do Norte (UFRN)"
"88","Marcos Aur�lio Santos da Silva","Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)"
"89","Ant�nio Miguel Vieira Monteiro","Instituto Nacional de Pesquisas Espaciais (INPE)"
"90","Jos� Sime�o Medeiros","Instituto Nacional de Pesquisas Espaciais (INPE)"
"91","Grace Kelly de Castro Silva","Centro de Pesquisa e Desenvolvimento em Telecomunica––es (CPqD)"
"92","Patr�cia Maria Pereira","Centro de Pesquisa e Desenvolvimento em Telecomunica––es (CPqD)"
"93","Geovane Cayres Magalh�es","Centro de Pesquisa e Desenvolvimento em Telecomunica––es (CPqD)"
"94","Joel da Silva","Universidade Federal de Pernambuco (UFPE)"
"95","Val�ria C. Times","Universidade Federal de Pernambuco (UFPE)"
"96","Robson Fidalgo","Universidade Federal de Pernambuco (UFPE)"
"97","Roberto Barros","Universidade Federal de Pernambuco (UFPE)"
"98","Ana C. Salgado","Universidade Federal de Pernambuco (UFPE)"
"99","Ligiane A. de Souza","Universidade Federal de Minas Gerais (UFMG)"
"100","Tiago M. Delboni","Universidade Federal de Minas Gerais (UFMG)"
"101","Karla A. V. Borges","Universidade Federal de Minas Gerais (UFMG)"
"102","Clodoveu A. Davis Junior","Universidade Federal de Minas Gerais (UFMG)"
"103","Alberto H. F. Laender","Universidade Federal de Minas Gerais (UFMG)"
"104","V�nia Vidal","Universidade Federal do Cear– (UFC)"
"105","Marcel Teixeira","Universidade Federal do Cear– (UFC)"
"106","F�bio Feitosa","Universidade Federal do Cear– (UFC)"
